event,miamiScore,opponentScore,pointDifference,elapsedTime,opponent,id
,0,0,0,0.0,DET,202310250MIA
,0,2,-2,17.0,DET,202310250MIA
,0,4,-4,52.0,DET,202310250MIA
,2,4,-2,102.0,DET,202310250MIA
LC,5,4,1,123.0,DET,202310250MIA
T,5,5,0,133.0,DET,202310250MIA
LC,5,6,-1,133.0,DET,202310250MIA
,5,9,-4,164.0,DET,202310250MIA
,5,12,-7,200.0,DET,202310250MIA
,8,12,-4,212.0,DET,202310250MIA
,10,12,-2,231.0,DET,202310250MIA
T,12,12,0,261.0,DET,202310250MIA
LC,13,12,1,261.0,DET,202310250MIA
,14,12,2,277.0,DET,202310250MIA
,15,12,3,300.0,DET,202310250MIA
,16,12,4,300.0,DET,202310250MIA
,16,14,2,315.0,DET,202310250MIA
,18,14,4,336.0,DET,202310250MIA
,18,16,2,351.0,DET,202310250MIA
,20,16,4,367.0,DET,202310250MIA
,20,18,2,390.0,DET,202310250MIA
,21,18,3,432.0,DET,202310250MIA
,22,18,4,432.0,DET,202310250MIA
,22,21,1,484.0,DET,202310250MIA
,24,21,3,527.0,DET,202310250MIA
,24,23,1,598.0,DET,202310250MIA
LC,24,26,-2,644.0,DET,202310250MIA
T,26,26,0,694.0,DET,202310250MIA
,26,29,-3,715.0,DET,202310250MIA
,28,29,-1,741.0,DET,202310250MIA
LC,31,29,2,796.0,DET,202310250MIA
,33,29,4,836.0,DET,202310250MIA
,33,30,3,850.0,DET,202310250MIA
,34,30,4,861.0,DET,202310250MIA
,36,30,6,895.0,DET,202310250MIA
,38,30,8,925.0,DET,202310250MIA
,39,30,9,925.0,DET,202310250MIA
,39,32,7,939.0,DET,202310250MIA
,39,35,4,1016.0,DET,202310250MIA
,41,35,6,1034.0,DET,202310250MIA
,42,35,7,1073.0,DET,202310250MIA
,43,35,8,1073.0,DET,202310250MIA
,43,37,6,1082.0,DET,202310250MIA
,43,39,4,1123.0,DET,202310250MIA
,46,39,7,1142.0,DET,202310250MIA
,46,41,5,1162.0,DET,202310250MIA
,48,41,7,1180.0,DET,202310250MIA
,49,41,8,1191.0,DET,202310250MIA
,50,41,9,1191.0,DET,202310250MIA
,50,43,7,1213.0,DET,202310250MIA
,52,43,9,1232.0,DET,202310250MIA
,53,43,10,1302.0,DET,202310250MIA
,53,46,7,1348.0,DET,202310250MIA
,55,46,9,1371.0,DET,202310250MIA
,58,46,12,1409.0,DET,202310250MIA
,58,47,11,1440.0,DET,202310250MIA
,61,47,14,1484.0,DET,202310250MIA
,61,49,12,1502.0,DET,202310250MIA
,63,49,14,1520.0,DET,202310250MIA
,63,51,12,1613.0,DET,202310250MIA
,63,53,10,1644.0,DET,202310250MIA
,63,55,8,1669.0,DET,202310250MIA
,65,55,10,1686.0,DET,202310250MIA
,67,55,12,1717.0,DET,202310250MIA
