location,long,code,short
Atlanta,Atlanta Hawks,ATL,Hawks
Boston,Boston Celtics,BOS,Celtics
Brooklyn,Brooklyn Nets,NJN,Nets
Charlotte,Charlotte Hornets,CHA,Hornets
Chicago,Chicago Bulls,CHI,Bulls
Cleveland,Cleveland Cavaliers,CLE,Cavaliers
Dallas,Dallas Mavericks,DAL,Mavericks
Denver,Denver Nuggets,DEN,Nuggets
Detroit,Detroit Pistons,DET,Pistons
Golden State,Golden State Warriors,GSW,Warriors
Houston,Houston Rockets,HOU,Rockets
Indiana,Indiana Pacers,IND,Pacers
LA Clippers,Los Angeles Clippers,LAC,Clippers
LA Lakers,Los Angeles Lakers,LAL,Lakers
Memphis,Memphis Grizzlies,MEM,Grizzlies
Miami,Miami Heat,MIA,Heat
Milwaukee,Milwaukee Bucks,MIL,Bucks
Minnesota,Minnesota Timberwolves,MIN,Timberwolves
New Orleans,New Orleans Pelicans,NOH,Pelicans
New York,New York Knicks,NYK,Knicks
Oklahoma City,Oklahoma City Thunder,OKC,Thunder
Orlando,Orlando Magic,ORL,Magic
Philadelphia,Philadelphia 76ers,PHI,76ers
Phoenix,Phoenix Suns,PHO,Suns
Portland,Portland Trail Blazers,POR,Blazers
Sacramento,Sacramento Kings,SAC,Kings
San Antonio,San Antonio Spurs,SAS,Spurs
Toronto,Toronto Raptors,TOR,Raptors
Utah,Utah Jazz,UTA,Jazz
Washington,Washington Wizards,WAS,Wizards
